method,N,h,strong_l1,strong_se,strong_l1_ci_low,strong_l1_ci_high,weak_bias_paired,weak_paired_se,weak_bias_paired_ci_low,weak_bias_paired_ci_high,weak_bias_cv,weak_cv_se,weak_bias_cv_ci_low,weak_bias_cv_ci_high,analytic_mean_bias,cv_variance_reduction,cv_z_vs_analytic
EM,8,0.125,1.8475001931515596,0.004125890277610663,1.8394135968032788,1.8555867894998404,-0.019461973111680214,0.006193027742540819,-0.031600084442317614,-0.007323861781042815,-0.016493341266837602,9.896195185317526e-05,-0.016687303128309613,-0.01629937940536559,-0.016356715377106753,3916.242229449852,-1.3805900871231211
Milstein,8,0.125,0.1712714789779659,0.0005123738471183522,0.17026724469099372,0.1722757132649381,-0.01632425306743177,0.0006664829959358145,-0.01763053573577432,-0.015017970399089217,-0.016292371844165023,5.0513313455499955e-05,-0.016391376119277584,-0.01619336756905246,-0.016356715377106753,174.08703668791708,1.2737935514448926
EM,16,0.0625,1.3221834800067238,0.0028662455312839013,1.3165657419945584,1.3278012180188892,-0.011827322303267449,0.0043749988184268625,-0.020402162419789392,-0.003252482186745507,-0.008211800248046658,3.871330372645121e-05,-0.008287676929073062,-0.008135923567020253,-0.008195665429157282,12771.30893336862,-0.41677711112915
Milstein,16,0.0625,0.09095952206291703,0.0002445890838459385,0.09048013626756735,0.09143890785826672,-0.008252026857879263,0.0003333298027240051,-0.008905341266192154,-0.0075987124495663725,-0.008188543441735157,1.9428676345014697e-05,-0.00822662294763867,-0.008150463935831643,-0.008195665429157282,294.34852467181395,0.36657090249758534
EM,32,0.03125,0.938466800841001,0.0020182504327770387,0.9345111026809756,0.9424224990010264,-0.005384531228503013,0.0030947839352709074,-0.01145019628156713,0.000681133824561103,-0.004095600980348132,1.4343324817115179e-05,-0.004123713380408237,-0.004067488580288027,-0.004102175056005008,46554.428604275745,0.45833694353987725
Milstein,32,0.03125,0.04696513230156991,0.00011845300020909248,0.04673296868729937,0.047197295915840445,-0.004135684876874131,0.0001664634262200674,-0.004461947197008604,-0.0038094225567396585,-0.004105910509968385,7.135625602520899e-06,-0.004119896079156488,-0.004091924940780282,-0.004102175056005008,544.2188099317632,-0.5234935479318217
EM,64,0.015625,0.6664084052929918,0.0014197178840541357,0.6636258093720383,0.6691910012139454,-0.000762952034180371,0.0021888898091235267,-0.005053097226189237,0.0035271931578284947,-0.002046536036885478,5.213900930574886e-06,-0.0020567550949283646,-0.0020363169788425914,-0.0020521750476580674,176247.20920570783,1.0815339316329606
Milstein,64,0.015625,0.02390781338503725,5.833081172377922e-05,0.023793487094869656,0.02402213967520484,-0.002111347860854339,8.334891537383399e-05,-0.0022747087331375306,-0.0019479869885711478,-0.002055077029253963,2.582992666950001e-06,-0.002060139601853516,-0.00205001445665441,-0.0020521750476580674,1041.246510395672,-1.1234958709048155
EM,128,0.0078125,0.4707142073757286,0.0009996761701933092,0.4687548780859468,0.47267353666551043,0.001790594969618634,0.00154407422677831,-0.0012357349043233853,0.004816924843560654,-0.00102512025724351,1.863848603867136e-06,-0.0010287733333797248,-0.001021467181107295,-0.0010263596460657687,686301.7122597514,0.664962175408067
Milstein,128,0.0078125,0.012092786208929996,2.8951966123048697e-05,0.012036041398047197,0.012149531019812795,-0.0010579876310522266,4.177556569271385e-05,-0.0011398662352437327,-0.0009761090268607203,-0.001027002320313074,9.232181264056993e-07,-0.0010288117945907037,-0.0010251928460354442,-0.0010263596460657687,2047.5571548890514,-0.6961239483103911
EM,256,0.00390625,0.3329663658259999,0.0007075017297624211,0.3315796879166658,0.33435304373533403,0.0010553786224941934,0.0010924615882253361,-0.0010858067449208923,0.003196563989909279,-0.0005133564358055853,6.661753247009718e-07,-0.0005146621154493885,-0.0005120507561617821,-0.000513247883916279,2689275.324623172,-0.16294792869275626
Milstein,256,0.00390625,0.006096094479266794,1.4428757385512677e-05,0.006067814634449523,0.006124374324084064,-0.000524444285617642,2.0946032289710764e-05,-0.0005654977545244881,-0.0004833908167107958,-0.0005131772786700516,3.294909132131415e-07,-0.0005138230689931826,-0.0005125314883469206,-0.000513247883916279,4041.258707455898,0.2142858676704133
EM,512,0.001953125,0.23550308299548875,0.0004994184820981984,0.2345242407573626,0.2364819252336149,0.0006322489432507487,0.0007720454173766391,-0.0008809322692366578,0.0021454301557381553,-0.00025671385488302385,2.3777208475231577e-07,-0.0002571798796056674,-0.0002562478301603803,-0.0002566409609714411,10542994.202048713,-0.3065705196583707
Milstein,512,0.001953125,0.0030596617208487635,7.227921838030186e-06,0.003045495254363154,0.003073828187334373,-0.0002686124279573434,1.050246754458574e-05,-0.00028919688609353224,-0.00024802796982115454,-0.00025659224824766194,1.1739105915570265e-07,-0.0002568223304957141,-0.0002563621659996098,-0.0002566409609714411,8004.102732694771,0.41496110631836086
EM,1024,0.0009765625,0.16658118859997678,0.0003536978075216224,0.16588795363582362,0.16727442356412994,0.0007152284980943099,0.0005463818291831111,-0.00035566020891170385,0.0017861172051003237,-0.00012835951492482775,8.414985724090105e-08,-0.0001285244456143241,-0.0001281945842353314,-0.0001283247357125384,42158556.121787734,-0.41330090661702873
Milstein,1024,0.0009765625,0.0015327998832329775,3.6157592969580035e-06,0.0015257131252341739,0.001539886641231781,-0.0001359524820603466,5.257614371331095e-06,-0.00014625721687275576,-0.00012564774724793746,-0.00012830821023232246,4.155346312455296e-08,-0.0001283896535234795,-0.00012822676694116542,-0.0001283247357125384,16008.955928779496,0.3976920086395952
