method,N,h,empirical_mean,analytic_discrete_mean,continuous_exact_mean,mean_se,mean_z_vs_discrete,empirical_variance,analytic_discrete_variance,continuous_exact_variance,variance_relative_error_vs_discrete,nonpositive_terminal_count
EM,8,0.125,105.17928502287634,105.11075292222529,105.12710963760242,0.08005031906489884,0.8561127732107368,1025.2885731827373,1021.0796904215404,1040.7867958160386,0.004121992436711075,0
Milstein,8,0.125,105.18242274292068,105.11075292222529,105.12710963760242,0.08027844340307631,0.8927654505648314,1031.1405560353485,1027.0491139174592,1040.7867958160386,0.003983686916668727,0
EM,16,0.0625,105.18691967368483,105.11891397217326,105.12710963760242,0.08042374836894374,0.8455922894763684,1034.8766882737891,1030.8479965012739,1040.7867958160386,0.003908133678475201,0
Milstein,16,0.0625,105.19049496913021,105.11891397217326,105.12710963760242,0.08054678134179953,0.8886884834441752,1038.0454375237864,1033.870395718097,1040.7867958160386,0.004038264199246688,0
EM,32,0.03125,105.19336246475959,105.1230074625464,105.12710963760242,0.08062122827688362,0.872661006497757,1039.9651918197408,1035.7958009910162,1040.7867958160386,0.004025301922189195,0
Milstein,32,0.03125,105.19461131111125,105.1230074625464,105.12710963760242,0.08068181709719688,0.8874843321709964,1041.5288976168847,1037.3165765915073,1040.7867958160386,0.00406078637942775,0
EM,64,0.015625,105.19798404395387,105.12505746255474,105.12710963760242,0.08073110560675571,0.9033269252419085,1042.801825998263,1038.2858636023884,1040.7867958160386,0.00434944031714557,0
Milstein,64,0.015625,105.19663564812723,105.12505746255474,105.12710963760242,0.08074919913536896,0.8864259502127908,1043.2693057605552,1039.0486650228231,1040.7867958160386,0.004062024118609786,0
EM,128,0.0078125,105.2005375909577,105.12608327795634,105.12710963760242,0.08078072200623646,0.9216841735532634,1044.0840076558168,1039.534966471796,1040.7867958160386,0.004376034795116501,0
Milstein,128,0.0078125,105.19768900835703,105.12608327795634,105.12710963760242,0.08078279374223692,0.8863982920567431,1044.1375623681267,1039.9169730625927,1040.7867958160386,0.004058582958891721,0
EM,256,0.00390625,105.19980237461056,105.12659638971849,105.12710963760242,0.08079855922829192,0.906030820243098,1044.5451477388476,1040.1605397650292,1040.7867958160386,0.004215318507284405,0
Milstein,256,0.00390625,105.19822255170243,105.12659638971849,105.12710963760242,0.08079965860337156,0.8864661462932731,1044.5735728674233,1040.3516948416182,1040.7867958160386,0.004058125772984811,0
EM,512,0.001953125,105.19937924493135,105.12685299664145,105.12710963760242,0.08080685070815768,0.897525985164799,1044.7595394192774,1040.4735823737847,1040.7867958160386,0.004119236776501944,0
Milstein,512,0.001953125,105.19847838356009,105.12685299664145,105.12710963760242,0.08080812389026912,0.8863636905603917,1044.792461866413,1040.5691978959403,1040.7867958160386,0.00405860944088321,0
EM,1024,0.0009765625,105.19946222448614,105.12698131286669,105.12710963760242,0.08081409141639846,0.8968845698702388,1044.9467794332813,1040.6301677295596,1040.7867958160386,0.004148074731621154,0
Milstein,1024,0.0009765625,105.19861104350602,105.12698131286669,105.12710963760242,0.08081236069253597,0.8863709712906084,1044.9020225120853,1040.6779849929353,1040.7867958160386,0.004058928487065794,0
