n_steps,h,reference_steps,reference_h,strong_l1_mean,strong_l1_standard_error,strong_l1_ci95_low,strong_l1_ci95_high,weak_payoff_difference_mean,weak_payoff_difference_standard_error,weak_payoff_difference_ci95_low,weak_payoff_difference_ci95_high
8,0.125,2048,0.00048828125,1.2517569680127918,0.0035748794229031214,1.2447502043439016,1.258763731681682,0.02572118157675498,0.0046215291705780336,0.016662984402422032,0.03477937875108793
16,0.0625,2048,0.00048828125,0.8985675324402569,0.002485130125289809,0.8936966773946888,0.903438387485825,0.01040541644257008,0.0032716229468781424,0.003993035466688922,0.016817797418451238
32,0.03125,2048,0.00048828125,0.6346466205977684,0.0017285331813257192,0.63125869556237,0.6380345456331669,0.005331033150117959,0.002288636013613691,0.0008453065634351246,0.009816759736800792
64,0.015625,2048,0.00048828125,0.44673334792879893,0.0012155373391080633,0.44435089474414713,0.44911580111345073,0.0016505789484984297,0.0016153248029913648,-0.0015154576653646453,0.004816615562361504
128,0.0078125,2048,0.00048828125,0.3111604329558982,0.0008468054253571976,0.30950069432219807,0.3128201715895983,0.0008874908844826925,0.0011265204121984624,-0.001320489123426294,0.003095470892391679
256,0.00390625,2048,0.00048828125,0.21249687953075022,0.0005765274738034384,0.2113668856820955,0.21362687337940495,0.0002680917022460133,0.0007683057298749834,-0.001237787528308954,0.0017739709328009807
8,0.125,4096,0.000244140625,1.2527398579005353,0.003577118968627275,1.2457287047220258,1.2597510110790449,0.025698290022375923,0.004624569632816285,0.016634133542056007,0.03476244650269584
16,0.0625,4096,0.000244140625,0.9000097603262427,0.002489145888403257,0.8951310343849723,0.9048884862675131,0.010382524888191016,0.0032769007554054783,0.003959799407596279,0.016805250368785753
32,0.03125,4096,0.000244140625,0.6369365626758721,0.0017345967752365363,0.6335367529964084,0.6403363723553357,0.005308141595738902,0.002297048509194697,0.0008059265177172963,0.009810356673760508
64,0.015625,4096,0.000244140625,0.4499977770080675,0.0012239744662508867,0.44759878705421574,0.4523967669619192,0.001627687394119377,0.0016268063404669608,-0.0015608530331958663,0.00481622782143462
128,0.0078125,4096,0.000244140625,0.31605655163161717,0.0008601361198843631,0.3143706848366438,0.3177424184265905,0.0008645993301036392,0.001144226670555204,-0.0013780849441845607,0.003107283604391839
256,0.00390625,4096,0.000244140625,0.21957962025546568,0.0005965698960579554,0.2184103432591921,0.22074889725173927,0.00024520014786695994,0.0007944323504320608,-0.0013118872589798793,0.001802287554713799
8,0.125,8192,0.0001220703125,1.2535415526551232,0.0035796295122531175,1.246525478811107,1.2605576264991394,0.02579251633354005,0.004628462859102532,0.01672072912969909,0.034864303537381014
16,0.0625,8192,0.0001220703125,0.9008717596026347,0.002492386521930473,0.8959866820196509,0.9057568371856184,0.010476751199355159,0.0032809953142123676,0.0040460003834989185,0.0169075020152114
32,0.03125,8192,0.0001220703125,0.6381770998360607,0.001737969979983961,0.6347706786752921,0.6415835209968294,0.005402367906903041,0.002301636979089502,0.0008911594278876176,0.009913576385918464
64,0.015625,8192,0.0001220703125,0.45176090319338214,0.001228673401423316,0.44935270332659244,0.45416910306017183,0.0017219137052835146,0.0016331531192563542,-0.0014790664084589396,0.004922893819025969
128,0.0078125,8192,0.0001220703125,0.31853738947823834,0.0008676594607603834,0.316836776935148,0.3202380020213287,0.0009588256412677765,0.0011536576771272805,-0.0013023434059016932,0.003219994688437246
256,0.00390625,8192,0.0001220703125,0.22322576557721782,0.0006065124307904903,0.22203700121286846,0.2244145299415672,0.00033942645903109735,0.0008074015383989067,-0.00124308055623076,0.0019219334742929545
